125.08,1.2
226.68,2.12
369,2.75
507.45,3.34
636.28,4.24
729.63,4.82
798.1,5.29
830.26,5.72
863.59,5.98
883.97,5.98
899.4,6.09
917.25,6.25
924.32,6.34
921.76,6.43
917.16,6.45
906.71,6.48
908.36,6.55
909.75,6.57
913.75,6.58
917.79,6.6
911.86,6.58
908.36,6.58
904.07,6.61
907.63,6.6
900.28,6.57
903.62,6.58
904.72,6.6
912.24,6.58
914.55,6.6
913.9,6.61
922.43,6.62
925.26,6.62
931.97,6.55
928.43,6.53
927.09,6.53
920.35,6.54
914.92,6.54
912.79,6.52
908.47,6.56
921,6.55
924.88,6.53
929.28,6.57
925.41,6.58
920.25,6.63
919.34,6.65
918.59,6.66
912.26,6.68
915.85,6.69
918,6.67
918.29,6.65
908.64,6.62
909.37,6.62
916.04,6.59
919.13,6.55
913.07,6.57
901.9,6.56
908.6,6.55
910.66,6.56
911.96,6.57
909.48,6.57
916.5,6.63
921.57,6.66
924.88,6.61
932.95,6.63
937.41,6.65
939.79,6.63
943.91,6.63
938.33,6.64
940.25,6.62
944.62,6.64
954.72,6.62
950.12,6.6
938.39,6.61
937.31,6.6
939.81,6.6
931.3,6.56
938.78,6.55
938.78,6.56
937.23,6.54
937.99,6.56
927.77,6.56
913.63,6.56
909.01,6.56
909.37,6.58
911.58,6.6
919.85,6.63
923.08,6.63
925.36,6.61
918.85,6.57
915.95,6.57
921.85,6.57
918.84,6.56
922.04,6.56
918.75,6.55
913.92,6.6
911.95,6.63
909.98,6.61
912.79,6.58
914.92,6.56
913.43,6.56
922.07,6.58
924.89,6.59
926.74,6.61
925.46,6.59
921.76,6.58
915.4,6.66
911.46,6.65
916.42,6.64
923.36,6.64
927.28,6.62
925.27,6.59
928.03,6.6
938.97,6.63
942.38,6.62
936.14,6.62
932.16,6.58
930.14,6.61
939.53,6.61
951.79,6.58
947.49,6.55
941.82,6.59
934.7,6.59
929.85,6.57
920.96,6.54
925.29,6.55
934.88,6.52
938.79,6.48
942.66,6.48
938.98,6.48
933.23,6.47
941.62,6.49
946.02,6.49
937.71,6.5
927.95,6.54
916.88,6.59
914.73,6.6
923.18,6.55
919.69,6.54
920.06,6.58
923.47,6.57
923.94,6.59
923.71,6.61
912.23,6.63
911.36,6.62
913.62,6.64
900.64,6.64
892.6,6.6
900.9,6.62
914.02,6.65
921.47,6.69
925.93,6.65
924.31,6.67
914.29,6.61
913.52,6.55
915.47,6.57
912.23,6.59
913.15,6.56
912.41,6.58
907.09,6.58
917.76,6.56
921.4,6.56
920.44,6.6
930.81,6.58
928.71,6.6
924.22,6.56
917.17,6.57
922.72,6.54
924.69,6.49
923.89,6.5
936.05,6.5
938.28,6.5
940.05,6.52
937.05,6.52
938.58,6.59
936.04,6.57
932.27,6.56
928.46,6.58
920.05,6.58
915.58,6.59
911.22,6.55
915.96,6.57
915.29,6.58
910.2,6.58
915.57,6.61
923.08,6.63
929.37,6.62
928.8,6.58
926.5,6.57
930.15,6.57
931.49,6.51
931.3,6.53
938.24,6.56
950.57,6.57
949.47,6.52
937.15,6.54
934.21,6.55
934.78,6.57
932.31,6.55
925.74,6.57
919.5,6.56
921.28,6.53
927,6.54
927.18,6.53
921.95,6.52
915.38,6.56
919.24,6.56
924.07,6.57
941.83,6.59
945.88,6.59
942.81,6.56
939.62,6.55
939.07,6.57
937.32,6.57
931.5,6.56
932.84,6.59
929.75,6.59
933.23,6.57
937.21,6.52
932.94,6.56
932.59,6.61
924.5,6.64
919.41,6.61
917.81,6.59
918.75,6.56
918.28,6.58
921.76,6.58
920.62,6.54
915.01,6.57
920.25,6.58
923.27,6.5
925.65,6.5
927.36,6.53
923.09,6.54
917.81,6.62
920.35,6.61
922.7,6.64
927.08,6.62
929.25,6.58
934,6.59
940.25,6.53
944.24,6.52
944.79,6.53
936.05,6.51
933.95,6.52
930.14,6.57
930.34,6.56
939.17,6.58
949.23,6.6
952.69,6.56
943.12,6.55
938.58,6.56
935.77,6.54
944.71,6.6
949.17,6.57
944.3,6.57
929.61,6.57
932.65,6.57
932.94,6.54
940.63,6.54
938.87,6.56
941.53,6.57
946.75,6.56
943.23,6.56
929.47,6.58
928.7,6.59
924.24,6.58
922.61,6.58
918.28,6.56
923.17,6.58
914.55,6.61
914.94,6.6
914.65,6.62
923.27,6.59
924.23,6.57
929.38,6.57
938.68,6.6
939.26,6.58
937.87,6.53
931.51,6.55
928.14,6.5
930.72,6.52
926.21,6.5
921.47,6.45
929.71,6.5
941.92,6.51
939.46,6.53
937.89,6.52
938.51,6.51
935.46,6.54
932.75,6.57
934.95,6.58
936.54,6.59
933.04,6.62
933.03,6.57
933.22,6.53
930.25,6.51
931.21,6.55
934.1,6.54
933.92,6.55
936.68,6.56
944.19,6.53
942.71,6.57
945.35,6.58
948.62,6.58
941.76,6.56
941.04,6.53
946.57,6.53
946.28,6.54
946.78,6.56
932.86,6.58
928.9,6.6
925.64,6.58
926.88,6.59
926.74,6.61
941,6.56
942.03,6.51
941.53,6.51
936.68,6.53
935.75,6.52
941.53,6.55
942.1,6.59
937.51,6.62
943.4,6.62
